WaterUseSurveyCode|WaterUseSurveyDescription
0685926|PA INC
0685929|RMI
0685950|PLASTECO INC
0686151|PLASTICS INC
0686200|PLASTIC PIPE COMPANY
0686210|PLASTIC SUPPLY OF SAN ANTONIO
0686300|ST ENVIRONMENTAL SERVICES-AUSTIN MUD 1
0686500|PLATZER SHIPYARD INC
0686550|PLAZA WATER UTILITY
0686553|PLAZA MHP
0686850|BEXAR MWD-BMWD PLEASANT OAKS 0150225
0686900|PLEASANT SPRINGS WSC
0688001|CITY OF PLUM GROVE
0688010|PM CIRCUITS INC
0688025|PONDEROSA MHP-UNSPECIFIED SYSTEM/FACILITY
0688195|POCO GRAPHITE INC
0688200|POETRY WSC
0688875|POLONIA WSC-MAIN PLANT
0688888|DURA-LINE POLYPIPE INC-GAINESVILLE PLANT
0688889|ARLANXEO - ORANGE SITE
0688896|SES FOAM LLC
0688900|POLYPLASTICS INC
0688955|POLYURETHANE ENGINEERING TECH COMPANY
0688980|POMYKAL WATER COMPANY
0690561|NO DATA AVAILABLE
0695015|POWERLABINC
0695618|LINCECUMS WATER WELL SERVICE
0697000|PRAIRIE HILL WSC
0697925|PRECAST STRUCTURES INC
0698120|PARKER HANNIFIN CORP-IPD DIVISION
0698400|PRESCO
0699450|THE PRESCON CORPORATION
0699875|UNITED TECHNOLOGIES MOTOR SYSTEM
0699885|PRESTONVIEW ESTATES
0699891|PSI INDUSTRIES-841 HWY 79 SOUTH PLANT
0699950|BREDERO PRICE INC
0700677|PRIME INDUSTRIES LLP
0700680|CITY OF PRIMERA
0700800|BEXAR MWD-BMWD PRIMROSE
0702600|PRITCHARD RICE MILLING COMPANY
0702630|PRITCHETT ENGINEERING & MESH INC
0702900|PROLER INTERNATIONAL CORPORATION
0702920|PRO LINE CAP COMPANY
0703480|PETRA CHEMICAL COMPANY
0703700|PWC INDUSTRIES INC
0707000|PYRAMID CONCRETE PIPE COMPANY
0707330|Q C ONICS INC
0709100|QUANEX O C T D H
0710700|QUINTANA HOWELL CORPORATION
0710750|QUINTANA PETROLEUM COMPANY-UNSPECIFIED SYSTEM/FACILITY
0710800|QUINTANA PETROLEUM COMPANY-UNSPECIFIED SYSTEM/FACILITY
0712000|CITY OF QUITMAN
0717700|EARTHGRAINS BAKING COMPANY-UNSPECIFIED SYSTEM/FACILITY
0717765|RAINBOW MATERIALS INC
0718053|STANDARD MEAT COMPANY
0718054|RAMIRENO WSC
0718055|RAMBLEWOOD MHP
0718100|RAMEY WSC
0718270|RAMTECH BUILDING SYSTEM LTD
0718411|ARK WATER
0718429|RANCH MHP
0718551|RANDOLPH COMPANY-ALIEF PLANT
0718555|RANGAIRE MANUFACTURING CO LP
0718570|KENDALL WEST UTILITY
0719125|RAYBURN HIDEAWAY RECREATION ASSOCIATION
0720955|RECYCLED AGGREGATES
0721000|CITY OF RED OAK FUEL DISPENSING STATION
0721151|RED RIVER REDEVLOPMENT AUTHORITY
0721173|RED RIVER AUTHORITY-NORTHEAST CHILDRESS WS
0721175|RED RIVER AUTHORITY-GARDEN VALLEY WS
0721176|RED RIVER AUTHORITY-SAIED ADDITION WS
0721182|RED RIVER AUTHORITY-PRESTON SHORES WS
0721191|RED RIVER AUTHORITY-NEW GOODLETT WS
0721300|AQUA TEXAS INC-REDWOOD ESTATES MHP
0722710|RENCHS WATER SYSTEM
0722725|CHAMPS WATER COMPANY-RENES WATER SYSTEM
0722728|Inframark-RENN ROAD MUD
0723295|REYNADYNE INC
0723966|RICETEC INC
0724360|Tokai Carbon CB Ltd-BIG SPRING CARBON BLACK PLANT
0725100|RICHARDSON WATER DEVELOPMENT CORPORATION
0725425|Texas Operations & Professional Services-RICHEY ROAD MUD
0725500|CITY OF RICHLAND
0727410|FITZGERALD
0728055|RICHTERS BAKING COMPANY-SAN ANTONIO PLANT
0728126|RIDGE HARBOR UTILITY COMPANY
0728208|AQUA TEXAS INC-RIGGS PLACE ESTATES
0728225|RIM INC
0729250|RIO VILLA WSC
0729810|AQUA TEXAS INC-BLUE MEDINA WATER
0730746|AQUA TEXAS INC-RIVERCREST WATER SYSTEM
0730762|RIVERSIDE CREST WATERWELL
0731280|RIVERSIDE LAKELAND WATER SYSTEM 1
0731310|RIVERSIDE COUNTY CLUB
0731360|RIVIERA ISD
0731375|RIVERIA SPRINGS WATER WORKS
0731500|ROAD RUNNER RETREAT
0733500|CITY OF ROBERT LEE
0734000|ROBROY INDUSTRIES TEXAS INC
0734900|CITY OF ROBY
0734910|ROBYS MHP
0736250|ROCHESTER GAUGES INC
0737200|THE ROCKET LOUNGE
0738600|CITY OF ROCKSPRINGS
0738612|WESTROCK CONVERTING COMPANY-EL PASO FOLDING CARTON PLANT
0738650|WESTROCK CONVERTING COMPANY-MILL DIVISION
0739460|CONEXANT SYSTEMS INC-UNSPECIFIED SYSTEM/FACILITY
0739465|ROCKWOOD SYSTEMS CORPORATION
0739498|MISSION FOODS CORPORATION
0740700|AQUA PURE-ROLAN HEIGHTS SUBDIVISION
0742645|ROSE HILL SUD
0744000|ROSEWOOD MHP
0745200|JOHNSON ROSS COMPANY
0745500|ROSS TECHNOLOGY
0745900|ROTOCAST PLASTIC PRODUCTS COMPANY
0746600|CITY OF ROUND ROCK
0748200|ROUND ROCK LIME COMPANIES-SOUTHWESTERN PLANT
0748210|ROUND TABLE DEVELOPMENT COMPANY INC
0749815|Precision Utility LLC-ROYAL COACH MHV
0750000|AQUA TEXAS INC-ROYAL OAKS WATER SYSTEM
0750870|JABIL CIRCUIT
0751050|RUBBER/URETHANES INC
0752200|RUDCO OIL GAS COMPANY
0757850|RUTH BERRY COMPANY
0759690|SABINE ISD
0760500|SADLER CONCRETE
0760640|SAFETY RAILWAY SERVICE
0760689|TEXAS SUPERMARKETS DAIRY PRODUCT
0760800|SAGEMONT MUD
0761208|SAJE TIRE DISPOSAL CORPORATION
0762500|SAINT CHARLES PLACE ADDITION
0764060|ST PAUL SHILOH TIMESVILLE WSC
0764120|SOUTEX BEEF LLC
0764160|HHSC SAN ANGELO STATE SUPPORTED LIVING CENTER
0764165|SAN ANGELO ELECTRIC SERVICE COMPANY
0764192|SAN ANGELO COUNTRY CLUB
0767450|SANDRAS MHP
0767500|AQUA TEXAS INC-SANDY CREEK RANCHES
0599250|NEUHOFF BROTHER PACKING COMPANY-UNSPECIFIED SYSTEM/FACILITY
0599500|CLAUDE NEVILS WATER COMPANY
0600900|GALVESTON COUNTY MUD 12
0602410|H & L NEWGULF
0602900|NEW HOPE SUD
0603655|NEW TRONICS LTD
0603725|NEW ULM CREAMERY
0603843|NRG TEXAS W A PARISH COAL P
0604000|CITY OF NEW WILLARD
0604215|NIGHT HAWK VENTURES
0604300|NIPAK INC-UNSPECIFIED SYSTEM/FACILITY
0604380|NIPPON PIGMENT USA INC
0604850|NIX TRAILER PARK
0604895|NATIONAL OILWELL VARCO-HARRIS COUNTY
0604897|N L  HYCALOG
0604906|HALLIBURTON ENERGY SERVICES-MAIN PLANT
0604910|N L  SHAFFER
0605100|COMBINED CONSUMERS SUD-SHAWNEE SHORES TREAMENT PLANT (NOB HILL)
0606000|NOLAN RIVER WSC
0607432|NORTH AMERICAN CABINET CORPORATION
0607433|NORTH AMERICAN PRODUCTS CORPORATON
0607470|NORTH CHEROKEE WSC
0607500|CITY OF NORTH CLEVELAND
0607514|NORTHEAST ISD-BLOSSOM ATHLETIC CENTER
0607531|NORTH FORK WATER SYSTEM
0608750|NORTHERN NATURAL GAS COMPANY-PLYMOUTH COMPRESSOR STATION
0610030|NORTH RURAL WSC
0610125|NORTH SIDE SUBDIVISION
0611025|WATER DISTRICT MANAGEMENT COMPANY-NORTHWEST HARRIS COUNTY MUD 15
0611038|EDP WATER-NORTHWEST HARRIS COUNTY MUD 29
0611053|AUCOIN & ASSOCIATES-NORTHWEST PINES MHP
0611072|NORTHWOODS WSC
0611075|NORTHWOODS WATER SYSTEM
0611403|NORTON CHEMICAL PROCESS PRODUCT
0611537|ROYAL WINDOW COVERINGS
0611550|N REN CORPORATION
0612320|NUMO MANUFACTURING COMPANY INC
0617335|OAK GROVE TRAILER PARK
0617650|OAK HILLS RANCH ESTATES
0617710|AQUA PURE-OAK HOLLOW SUBDIVISION
0618000|CITY OF OAKHURST
0618025|CREST WATER COMPANY-OAK LEAF TRAIL SUBDIVISION
0618153|AQUA TEXAS INC-OAK MEADOWS
0618165|OAK POINT WATER SYSTEM
0618200|OAKRIDGE MHE
0618550|MUNICIPAL DISTRICT SERVICES-OAK MANOR MUD
0618588|OAK TERRACE MHP
0618620|OAK RIDGE ESTATES WATER SYSTEM
0618623|FLOWATCH INC-OAKS OF ROSEHILL
0618820|OAKWOOD VILLAGE
0619200|CITY OF ODEM
0619951|ODESSA COUNTRY CLUB-LINKS
0622000|CITY OF ODONNELL
0623460|LTV ENERGY PRODUCTS-ETC
0623482|OLD ORCHARD GOLF CLUB
0623592|OLIVER RUBBER COMPANY-PARIS PLANT
0625360|VALLOUREC DRILLING PRODUCTS USA
0626010|ONALASKA WSC
0626015|ONATION INC
0626771|OPTEK TECHNOLOGY INC-MINERAL WELLS PLANT
0626773|OPTICAL DATA SYSTEM INC
0626775|OPTOWAND INC
0628416|CONRAD ORANGE SHIPYARD INC
0628420|ORBIT SYSTEMS INC-COMBINED SYSTEMS
0628431|Utility Partners LLC-CORONADO COUNTRY
0628850|ORCHARD ACRES
0629000|CITY OF ORE CITY
0632000|CITY OF OVILLA
0632557|OWENS COUNTRY SAUSAGE-RICHARDSON PLANT
0632560|LOUISIANA PACIFIC CORPORATION-JASPER STUDMILL
0632990|OZARKA WATER CO-DFW PLANT FORT WORTH WATER SOURCE
0632995|NESTLE WATERS NORTH AMERICA-OZARKA - WOOD COUNTY BOTTLING PLANT
0633200|OZARK MAHONING COMPANY-UNSPECIFIED SYSTEM/FACILITY
0633400|COOPER NATURAL RESOURCES-OZARK DIVISION LOST DRAW FACILITY
0634500|OZUNA SUBDIVISION WATER SYSTEM
0635700|PACE PACKING COMPANY-UNSPECIFIED SYSTEM/FACILITY
0635905|PADRE ISLAND BREWING COMPANY
0639520|PAINT CREEK WSC
0639530|CITY OF PAINT ROCK WATER SYSTEMS
0639531|PAISANO WATER SYSTEM
0639535|PAK MOR MANUFACTURING COMPANY
0639805|TONKAWA WSC
0641450|PALMER PLANTATION MUD 1
0641630|EAST CENTRAL WSC-PALM PARK WATER
0641700|ELGIN PAPE WATER COMPANY
0644505|WINDY HILLS ESTATES (1988 89)
0645400|PAN AMERICAN PETROLEUM CORPORATION-UNSPECIFIED SYSTEM/FACILITY
0647805|PANHANDLE CONCRETE COMPANY INC
0649710|RICHARDSON MILLING
0650400|TOWN OF PANTEGO WATER UTILITY
0651525|PARK SPRING OFFICE PARK
0651602|PARK PLAZA MHP
0651620|PARKER BROTHERS & COMPANY INC-HUMBLE PLANT
0651660|PARKER BROTHERS & COMPANY INC-CLAY ROAD PLANT
0651713|PARKER BROTHERS & COMPANY INC-LIBERTY ROAD PLANT
0651714|PARKER BROTHERS & COMPANY INC-GREENS BAYOU PLANT
0651717|PARKER BROTHERS & COMPANY INC-ENGEL ST  STABILIZED
0651740|PARKER BROTHERS & COMPANY INC-SPRING PLANT
0651777|PAKRITE PLASTICS CORPORATON
0651779|RINCO OF TEXAS
0651782|PARKSIDE SHORES
0651787|PARKVIEW MHP
0651825|PARKER COUNTY SUD-GROUND WATER PLANT
0651900|CITY OF PASADENA
0652110|PATTONVILLE WSC
0652177|PEACOCK PLASTICS COMPANY
0652179|SPEEDY PRODUCTS COMPANY
0652180|PEANUT SHACK CANDY KITCHEN
0652200|PEARL BREWING COMPANY
0652215|PEARL CONTAINER COMPANY
0653400|CITY OF PEARSALL
0653850|F H  PEAVEY & COMPANY
0654201|CITY OF PECOS-WARD COUNTY WELL FIELD
0654300|PECOS BEND TRADING POST
0654390|PEDROS TAMALES INC
0654455|PELICAN ISLE WATER SYSTEM
0654460|ADAMS GOLF
0656300|ARKEMA INC-HOUSTON THIOCHEMICALS
0656301|ELF ATACHEM
0656500|PEPPERS CREEK WSC
0656515|PEPSI COLA BOTTLING COMPANY-CORPUS CHRISTI PLANT
0656557|BORG WARNER TORQ TRANSFER SYSTEM
0656564|SHADY LANE MHP
0656566|PEREGRINE AT SAN LUIS PASS
0656569|CHANCE PROPERTIES COMPANY
0656573|PERMIAN COCA COLA BOTTLING COMPANY
0656574|PERMIAN CORPORATION-TODD PLANT
0656576|PERMIAN CORPORATION-POSSUM KINGDOM PLANT
0656590|PERMOCAST CORPORATION
0656610|PERRIN WHITT ISD
0656667|PERRY GAS PROCESSORS INC-DIMMIT COUNTY PLANT
0656950|PERRY EQUIPMENT CORPORATION
0657000|PERRY WSC
0658300|CAPITAN ENTERPRISES INC
0658660|PETROLEUM REFINING COMPANY
0658750|PETRONILA SCHOOL
0659220|CANYON LAKE WATER SERVICE COMPANY-CANYON LAKE VILLAGE WEST
0659230|PEYTON ENTERPRISES INC-CANYON LAKE VILLAGE
0664400|PHELPS SUD
0669350|IACX ROCKCREEK-ROCK CREEK PLANT GPBR
0671600|DCP MIDSTREAM-GRAYCO GAS BOOSTER GPBR
0674160|GPM GAS CORPORATION-NORTH BOOSTER GPBR
0802515|COMAL ISD-SMITHSONS VALLEY MIDDLE SCHOOL
0802521|FRANK SMITH & SONS COMPANY
0802535|SMITH INDUSTRIES INC
0802540|AQUA TEXAS INC-SMITH WATER COMPANY
0802700|J W SMOTHERS WATER COMPANY-DEEPWATER ADDITION
0802800|CITY OF SMYER
0803400|CITY OF SNOOK
0804155|SNYDER GALVANIZING INC
0804260|SOCONY MOBIL OIL COMPANY INC-ANDREWS CAMP
0804620|MOBIL W  P  MOORE LEASE
0804790|SOCONY MOBIL OIL COMPANY INC-SEMINOLE CAMP
0804840|SOCONY MOBIL OIL COMPANY INC-UNSPECIFIED SYSTEM/FACILITY
0804990|SOCONY MOBIL OIL COMPANY INC-UNSPECIFIED SYSTEM/FACILITY
0805048|SOLECTRON CORPORATION
0805056|SOLVAY MINERALS INC
0805700|SONOCO PRODUCTS COMPANY
0805701|HILEX POLY COMPANY
0806250|ST ENVIRONMENTAL SERVICES-TANGLEWOOD FOREST MUD
0806610|SOUTHEAST PACKING COMPANY
0806643|SOUTHWESTERN ICE INC-CRYSTAL CITY PLANT
0806680|UNIMIN CORPORATION-VAN HORN PLANT
0806831|SOUTH HAMPTON COMPANY
0806900|MISSION ICE & FUEL COMPANY INC-SOUTHERN HENKE PLANT
0806980|SOUTHERN ICE & COLD STORAGE COMPANY
0807050|SOUTHERNMOST CORPORATION ET AL
0807170|UNION PACIFIC RAILROAD COMPANY-HARDY STREET SHOPS
0807255|SOUTHERN STATES STEEL COMPANY
0809103|SOUTH TAWAKONI WSC
0809106|SOUTH TEX CONCRETE-INSPIRATION RD
0809111|SOUTHWEST AGGREGATES-UVALDE CONCRETE PLANT (INACTIVE DUP)
0809400|SOUTH TEXAS COTTON OIL COMPANY
0809575|SOUTH TEXAS STONE COMPANY
0809900|SOUTHWEST DAIRY PRODUCTS
0809920|LIFEMADE
0809926|US GALVANZING INC-SAN ANTONIO PLANT
0809927|SOUTHWEST FREEWAY HILLCROFT LTD
0810600|SW BELL-HOMESTEAD 2
0810700|SW BELL-HOMESTEAD 5
0810800|SW BELL-IDLEWOOD 3
0811400|SOUTHWESTERN ELECTRIC POWER COMPANY-KNOX LEE PLANT
0811460|SOUTHWESTERN ELECTRIC POWER COMPANY-LONE STAR POWER PLANT
0811500|SOUTHWESTERN EXPLOSIVES INC-WICKETT PLANT
0812511|SOUTHWESTERN ICE COLD STORAGE-AUSTIN PLANT
0813000|SOUTHWESTERN LIFE INSURANCE COMPANY
0813400|GCC  PERMIAN LLC-ODESSA PLANT
0813450|SOUTHWESTERN PORTLAND CEMENT-EL PASO PLANT
0816075|SOUTHWESTERN PLATING COMPANY
0817050|SOUTHWEST MILAM WSC
0817075|SOUTHWEST EQUITIES CORPORATION
0817420|SOUTHWESTERN PETROLEUM CORPORATION
0817510|SOUTHWEST TEXAS METHODIST HOSPITAL
0817550|TEXAS STATE UNIVERSITY-PHYSICAL PLANT
0817558|SOUTHWEST TROPHY & AWARD COMPANY
0817571|AQUA TEXAS INC-LAIRD SUBDIVISION
0817573|AQUA TEXAS INC-LAS PLAYAS RESORT
0817618|SOUTHWEST WOOL AND HIDE
0817850|INDIAN SPRINGS CUSTOM PACKAGING
0819400|SPENCER CHEMICAL COMPANY
0819900|SPOETZL BREWERY INC
0820045|H2O INNOVATION-SPRING CYPRESS WSC
0820050|SPRING BRANCH VILLA
0820110|SPRING OAKS WATER WORKS
0820137|SPRING VALLEY SUBDIVISION
0820150|SPRINGER MHC
0820600|SPUR OIL COMPANY
0821650|STANDARD OIL COMPANY OF TEXAS-UNSPECIFIED SYSTEM/FACILITY
0823350|STANLEY STRUCTURES
0823817|STAR ENGRAVING COMPANY
0823818|STAR FOOD PROCESSING
0823825|CKS PACKAGING INC-DALLAS PLANT
0824130|S TEC CORPORATION
0824140|STEEL TANK CONSTRUCITON  COMPANY
0824180|STEMCO INC-LONGVIEW PLANT
0824185|STEMPEL MANUFACTURING COMPANY
0824192|TEXAS PARKS & WILDLIFE DEPARTMENT-STEPHEN F AUSTIN
0824775|STEWART & STEVENSON SERVICE INC
0824810|STEWART SYSTEMS INC
0824880|STILLMEADOW WATER SUPPLY
0825804|SOUTHWESTERN FOUNDRY
0825865|STOREY MANUFACTURING  COMPANY
0826000|STOWAWAY BAY WATER SYSTEM
0826300|STRAUS SYSTEMS INC
0826627|CITY OF STREETMAN
0826680|ST REGIS PAPER COMPANY
0827303|Utility Partners LLC-CYPRESS BEND SUBDIVISION
0829053|VLASEK PUMP COMPANY-SUMMER DREAMS CAMP
0829111|JONES APPAREL GROUP-VANDERBILT PRODUCTION  DEVELOP LAB
0829454|SUNBELT TRANSFORMER INC
0829825|SUNDOWN MHP AND STORAGE
0829850|SUNFLOWER MHP
0830162|AQUA TEXAS INC-SUNNY RANCHES
0830215|SUN EXPLORATION & PRODUCTION COMPANY-KURTEN GAS PLANT
0832200|KINDER MORGAN PIPLINE-SNYDER GAS PLANT
0832300|SUN EXPLORATION & PRODUCTION COMPANY-MCFADDIN COMPRESSOR PLANT
0832400|SUNRAY OIL COMPANY
0832703|GULF LANDER PARTNERS GROUP LP
0832760|SUN SET ESTATES
0833900|JOHN B SAN FILIPPO & SON INC-SUNSHINE NUT COMPANY
0834000|SUNSHINE INDUSTRIES INC
0834350|SUPERBRAND DAIRY PRODUCTS-UNSPECIFIED SYSTEM/FACILITY
0834550|BRIDGFORD FOODS CORPORATION-SUPERIOR FOODS DIVNT ENGINEER
0835050|SUPERIOR OIL COMPANY-LAKE CREEK PLANT
0835230|SUPERIOR SAND & GRAVEL INC
0835233|SUPERBRAND DAIRY PRODUCTS-FORT WORTH PLANT
0835330|S & W WATER COMPANY-TEJAS TRAILS ADDITION
0835501|ACE BAKING
0835560|ADM ALLIANCE NUTRITION INC-DIV  ARCHER DANIELS MIDLAND
0835600|SWENSON WSC
0835688|SWIFT DAIRY & POULTRY COMPANY
0837800|SWIFT AND COMPANY-UNSPECIFIED SYSTEM/FACILITY
0837900|SWIFT WSC
0837996|SYSTEM INDUSTRIES INC-DALLAS PLANT
0842826|TOE WATER SUPPLY CORPORATION
0842870|TAMIGA ACRES MHP
0842875|A 1 UTILITY & CONSTRUCTION SERVICES INC-OLD TAMINA WSC
0842878|TANDY ELECTRONICS
0842897|TANDY WIRE & CABLE-FORT WORTH PLANT
0842898|TANDY WIRE & CABLE-FORT WORTH PLANT
0842965|TARIN MEAT COMPANY INC
0842980|TARRANT COUNTY MUD 1
0844902|SIGNAL INTERNATIONAL TEXAS LP-NORTH YARD FACILITY
0845011|TRI COUNTY WATER CORPORATION
0845015|AQUA TEXAS INC-QUINLAN SOUTH SUBDIVISION
0845050|CITY OF TEAGUE
0845055|TEAGUE BRICK SALES
0845070|TECHNICAL CHEMICAL COMPANY
0845175|TGE COMPANY
0845760|TEJAS MHP
0845770|TEJAS SHORES
0845803|TELEDYNE WATER PIK
0845807|TELLINQ SYSTEMS INC
0845809|QUADVEST INC-LAKE OF MAGNOLIA
0846101|GEORGIA PACIFIC CORPORATION-BUNA LUMBER OPERATION
0846151|TEMPLE INLAND-FOREST LAKE NURSERY
0846400|CITY OF TENAHA
0846401|BRAZOS ELECTRIC POWER CO OP INC-JOHNSON COUNTY GENERATION FACILITY
0597612|SI ENVIRONMENTAL LLC-NEEDVILLE ISD HIGH SCHOOL
0598400|NEHI BOTTLING COMPANY-UNSPECIFIED SYSTEM/FACILITY
0599105|NETWORTH INC
0599200|NEUHOFF BROTHER PACKING COMPANY-UNSPECIFIED SYSTEM/FACILITY
0600000|CITY OF NEWARK
0601000|CITY OF NEW BOSTON
0601652|NEW CANEY TRUCK TERMINAL IN
0602210|NEW FOREST ESTATES
0602211|WATER NECESSITIES INC-NEW FOREST
0602690|COMBINED CONSUMERS SUD-SHAWNEE SHORES TREAMENT PLANT (NH)
0603000|CITY OF NEW LONDON
0603025|AMERICAN PLASTIC PRODUCTS INC
0603060|SOUTHWEST SHIPYARD LP - GALVESTON COUNTY
0603080|NEWPORT MUD
0603100|NEW PROSPECT WSC-PLANT 1
0603130|NEW PROCESS STEEL CORPORATION
0604050|NIAGARA LASALLE CORPORATION
0604150|NIBCO INC
0604205|J W NICHOLS COMPANY
0604210|SOUTHEASTERN KUSAN
0604800|CITY OF NIXON
0604903|BAROID DRILLING FLUIDS
0605650|NOCONA BOOT COMPANY INC
0605660|NOCONA HILLS WSC
0606050|BELL COUNTY WCID 3
0606200|WATER DISTRICT MANAGEMENT COMPANY-NORTHAMPTON MUD
0606400|CITY OF NORDHEIM
0607463|NORTH BREEZE MHP
0607468|NORTH CENTRAL TEXAS MUNICIPAL WATER AUTHORITY
0607475|QUADVEST INC-NORTHCREST RANCH WATER SYSTEM
0607506|MONARCH UTILITIES LP-CRYSTAL SPRINGS
0607507|CONCHO RURAL WATER CORPORATION-NORTH CONCHO LAKE ESTATES
0607508|CREST WATER COMPANY-NORTHCREST BURLESON OAKS
0607513|NORTHEAST ISD-SERNA ELEMENTARY SCHOOL
0607532|H2O INNOVATION-NORTHGATE CROSSING MUD 2
0607535|NORTHGATE UD
0607701|MONARCH UTILITIES LP-WINDMILL RANCH SUBDIVISION/KESTREL AIRPARK
0607912|NORTHERN GAS PRODUCTS COMPANY
0607925|NORTHERN HILLS WATER SERVICE
0608000|NORTHERN NATURAL GAS COMPANY-UNSPECIFIED SYSTEM/FACILITY
0608700|TARGA RESOURCE INC
0609700|NORTH MOSS WATER ASSOCIATION
0609895|Innovative Utility Operations-NORTHPARK WSC
0610000|NORTH RIDGE SUBDIVISION
0610100|NORTH SHORE WSC
0610103|HELOTES SCHOOL
0610400|NORTHSIDE WSC
0610580|NORTH TEXAS PLASTIC
0611015|H2O INNOVATION-NORTHWEST HARRIS COUNTY MUD 28
0611020|MMIA-NORTHWEST HARRIS COUNTY MUD 9
0611022|MUNICIPAL OPERATIONS & CONSULTING INC-NORTHWEST HARRIS COUNTY MUD 12
0611028|H2O INNOVATION-NORTHWEST HARRIS COUNTY MUD 22
0611031|NORTHWEST HARRIS COUNTY MUD 24
0611055|NORTHWEST TRAVIS COUNTY MUD 1
0611076|JOHNSONS WATER SERVICE
0611405|SAINT GOBAIN ABRASIVES (NORTON COMPANY)
0611500|NORWOOD WSC
0617430|OAK GROVE MHP
0617510|OAK HILL ACRES MH SUBDIVISION
0618150|OAKLAND WSC
0618300|CITY OF OAK RIDGE NORTH
0618400|OAK RIDGE SOUTH GALE WSC
0618555|OAK MANOR SUBDIVISION-LOWE WATER SYSTEM
0618573|OAKS MHP (TARRANT COUNTY)
0618590|MONARCH UTILITIES LP-OAK TRAIL SHORES
0618624|AQUA TEXAS INC-LAKES OF ROSEHILL WATER SYSTEM
0619112|OCCIDENTAL CHEMICAL CORPORATION-VICTORIA ALATHON POLYMERS DIV
0619600|ODESSA BABBITT BEARING COMPANY
0620600|ODESSA NATURAL GASOLINE COMPANY
0623410|BORGER OIL CHEMICAL
0623462|OIL STATES INDUSTRIES INC
0623465|OILTON RURAL WSC
0623560|OLDS PRESS & FORGE INC
0623565|OLD TOWN WSC
0623590|CHEMTRADE REFINERY SERVICES INC
0623597|OLMITO WSC
0625200|CITY OF OMAHA
0626050|ONE FIVE O WSC
0626765|OPPENHEIMER ENVIRONMENTAL COMPANY
0626801|ORANGE COUNTY WCID 1-HICKORY HOLLOW
0628870|ORCHARD CROSSING ESTATES
0629500|SUPERIOR SILICA SANDS
0629510|KRAFT FOODS OSCAR MAYER FOODS DV
0630000|CITY OF OTTINE
0630800|CITY OF OVALO
0632546|OWENS CORNING-AMARILLO PLANT
0635801|PACKAGING CORP OF AMERICA-PLANO PLANT
0635850|PACKERLAND PACKING CORPORATION  OF TEXAS
0639800|CITY OF PALACIOS
0641635|PALM SHORES INC
0641658|PALO GAUCHO WATER WORKS
0641670|PALO PINTO WSC
0641800|PAL PORT BRICK MANUFACTURERS
0643500|PAN AMERICAN PETROLEUM CORPORATION-UNSPECIFIED SYSTEM/FACILITY
0645000|PAN AMERICAN PETROLEUM CORPORATION-UNSPECIFIED SYSTEM/FACILITY
0648000|PANHANDLE EASTERN PIPE LINE COMPANY-HANSFORD PLANT
0650901|CORIX UTILITIES (TEXAS)-PARADISE POINT
0651400|SAN ANTONIO PARKS DEPARTMENT-HILDEBRAND
0651601|AQUA TEXAS INC-PARK PLACE SUBDIVISION
0651680|PARKER BROTHERS & COMPANY INC-WEBSTER PLANT
0651705|PARKER BROTHERS & COMPANY INC-EAGLE LAKE PLANT
0651710|PARKER BROTHERS & COMPANY INC-SOUTH MAIN PLANT
0651716|PARKER BROTHERS & COMPANY INC-ENGEL ST  CONCRETE PLANT
0651775|PARKER SEAL COMPANY
0651783|PARKVIEW WATER SUPPLY-UNSPECIFIED SYSTEM/FACILITY
0651786|PARKVIEW METAL PRODUCTS INC
0651805|MMIA-PARKWAY UD
0651863|PARRISH LUMBER COMPANY INC
0652000|PASADENA ICE COMPANY
0652053|R J  PASLEY CONSTRUCTION COMPANY
0653852|PECAN FOREST SUBDIVISION
0653900|PECAN SHADOWS  WSC
0654380|PEDERNALES VINEYARDS
0656377|PEOPLES UTILITY COMPANY-LEELAND HOMES
0656518|PEPSI COLA BOTTLING COMPANY-HOUSTON PLANT
0656567|APPLE CORRUGATED PACKAGING
0657401|PERRYTON EQUITY EXCHANGE
0658220|CLEAR CREEK WATER COMPANY INC-PETES PARADISE
0658235|PETROFLEX LTD
0658525|PETROLEUM CORPORATION  OF TEXAS-HAMLIN PLANT
0659260|PEYTON ENTERPRISES INC-MOORWOOD SYSTEM
0659270|PEYTON ENTERPRISES INC-TAMARACK SHORES SUBDIVISION
0659280|W & W WATER COMPANY-SCENIC RIVER LITTLE PONDEROSA
0663800|CITY OF PHARR
0664500|PHIL RICH FAN MANUFACTURING COMPANY INC
0664550|PHILLIPS PETROLEUM COMPANY
0665000|PHILLIPS PANTEX FRITCH
0669015|J L  DAVIS GAS COMPANY-LULING PLANT
0669450|IACX ROCKCREEK-SANFORD BOOSTER GPBR
0671650|PHILLIPS PETROLEUM COMPANY-PAMPA GAS BOOSTER EP B
0671800|PHILLIPS PETROLEUM COMPANY-DIMMITT STATION
0674800|PHILLIPS PETROLEUM COMPANY-UNSPECIFIED SYSTEM/FACILITY
0676600|PHILLIPS PETROLEUM COMPANY-PAMPA PIPELINE STATION PPL
0677200|PHILLIPS PETROLEUM COMPANY-KAY PANTEX WATER STA REF
0854160|AQUA MANAGEMENT CORP-TEXAS NATIONAL MUD
0854183|TEXAS OIL & GAS COMPANY-PICKTON COMPRESSOR STATION
